num,name,class
100001,동화약품,kospi
100002,KR모터스,kospi
100003,경방,kospi
100004,메리츠화재,kospi
100005,삼양홀딩스,kospi
100006,삼양홀딩스우,kospi
100007,하이트진로,kospi
100008,하이트진로2우B,kospi
100009,유한양행,kospi
100010,유한양행우,kospi
100011,CJ대한통운,kospi
100012,하이트진로홀딩스,kospi
100013,하이트진로홀딩스우,kospi
100014,두산,kospi
100015,두산우,kospi
100016,두산2우B,kospi
100017,성창기업지주,kospi
100018,DL,kospi
100019,DL우,kospi
100020,유유제약,kospi
100021,유유제약1우,kospi
100022,유유제약2우B,kospi
100023,일동홀딩스,kospi
100024,한국앤컴퍼니,kospi
100025,기아,kospi
100026,대유플러스,kospi
100027,노루홀딩스,kospi
100028,노루홀딩스우,kospi
100029,한화손해보험,kospi
100030,삼화페인트,kospi
100031,롯데손해보험,kospi
100032,대원강업,kospi
100033,조선내화,kospi
100034,대동,kospi
100035,가온전선,kospi
100036,삼일제약,kospi
100037,흥국화재,kospi
100038,흥국화재우,kospi
100039,흥국화재2우B,kospi
100040,CS홀딩스,kospi
100041,동아쏘시오홀딩스,kospi
100042,천일고속,kospi
100043,SK하이닉스,kospi
100044,영풍,kospi
100045,LS네트웍스,kospi
100046,유수홀딩스,kospi
100047,현대건설,kospi
100048,현대건설우,kospi
100049,이화산업,kospi
100050,삼성화재,kospi
100051,삼성화재우,kospi
100052,화천기공,kospi
100053,강남제비스코,kospi
100054,한화,kospi
100055,한화우,kospi
100056,한화3우B,kospi
100057,보해양조,kospi
100058,유니온,kospi
100059,전방,kospi
100060,한국주철관,kospi
100061,DB하이텍,kospi
100062,DB하이텍1우,kospi
100063,페이퍼코리아,kospi
100064,CJ,kospi
100065,CJ우,kospi
100066,CJ4우(전환),kospi
100067,JW중외제약,kospi
100068,JW중외제약우,kospi
100069,JW중외제약2우B,kospi
100070,대한방직,kospi
100071,만호제강,kospi
100072,LX인터내셔널,kospi
100073,대한제분,kospi
100074,국보,kospi
100075,유진투자증권,kospi
100076,금호전기,kospi
100077,동국제강,kospi
100078,GS글로벌,kospi
100079,남광토건,kospi
100080,부국증권,kospi
100081,부국증권우,kospi
100082,상상인증권,kospi
100083,백광산업,kospi
100084,삼성제약,kospi
100085,SG글로벌,kospi
100086,KG케미칼,kospi
100087,태원물산,kospi
100088,세아베스틸,kospi
100089,대한전선,kospi
100090,현대해상,kospi
100091,BYC,kospi
100092,BYC우,kospi
100093,삼부토건,kospi
100094,현대차증권,kospi
100095,SK증권,kospi
100096,SK증권우,kospi
100097,동양,kospi
100098,동양우,kospi
100099,동양2우B,kospi
100100,동양3우B,kospi
100101,DI동일,kospi
100102,조비,kospi
100103,제일연마,kospi
100104,금양,kospi
100105,케이비아이동국실업,kospi
100106,종근당홀딩스,kospi
100107,대상,kospi
100108,대상우,kospi
100109,신영증권,kospi
100110,신영증권우,kospi
100111,SK네트웍스,kospi
100112,SK네트웍스우,kospi
100113,한양증권,kospi
100114,한양증권우,kospi
100115,SHD,kospi
100116,알루코,kospi
100117,대한제당,kospi
100118,대한제당우,kospi
100119,오리온홀딩스,kospi
100120,삼화콘덴서,kospi
100121,DL건설,kospi
100122,KISCO홀딩스,kospi
100123,코오롱,kospi
100124,코오롱우,kospi
100125,아세아,kospi
100126,비비안,kospi
100127,경농,kospi
100128,고려산업,kospi
100129,도화엔지니어링,kospi
100130,삼양통상,kospi
100131,한국수출포장,kospi
100132,동성제약,kospi
100133,한일철강,kospi
100134,고려제강,kospi
100135,롯데푸드,kospi
100136,아세아제지,kospi
100137,한진,kospi
100138,넥센타이어,kospi
100139,넥센타이어1우B,kospi
100140,SH에너지화학,kospi
100141,KCC,kospi
100142,한독,kospi
100143,범양건영,kospi
100144,삼익악기,kospi
100145,화성산업,kospi
100146,조흥,kospi
100147,제일파마홀딩스,kospi
100148,오리엔트바이오,kospi
100149,동일제강,kospi
100150,신일전자,kospi
100151,TCC스틸,kospi
100152,국제약품,kospi
100153,보락,kospi
100154,진흥기업,kospi
100155,진흥기업우B,kospi
100156,진흥기업2우B,kospi
100157,아모레G,kospi
100158,아모레G우,kospi
100159,아모레G3우(전환),kospi
100160,삼영무역,kospi
100161,SUN&L,kospi
100162,미원상사,kospi
100163,신풍제지,kospi
100164,대유에이텍,kospi
100165,TYM,kospi
100166,유성기업,kospi
100167,한국쉘석유,kospi
100168,금호건설,kospi
100169,금호건설우,kospi
100170,부광약품,kospi
100171,혜인,kospi
100172,세아제강지주,kospi
100173,에이프로젠제약,kospi
100174,코오롱글로벌,kospi
100175,코오롱글로벌우,kospi
100176,성보화학,kospi
100177,대웅,kospi
100178,일성신약,kospi
100179,디아이,kospi
100180,일신방직,kospi
100181,대원제약,kospi
100182,삼양식품,kospi
100183,태광산업,kospi
100184,한일홀딩스,kospi
100185,한국화장품제조,kospi
100186,쌍용C&E,kospi
100187,유화증권,kospi
100188,유화증권우,kospi
100189,유안타증권,kospi
100190,유안타증권우,kospi
100191,한진중공업홀딩스,kospi
100192,대한항공,kospi
100193,대한항공우,kospi
100194,영진약품,kospi
100195,한화투자증권,kospi
100196,한화투자증권우,kospi
100197,대신증권,kospi
100198,대신증권우,kospi
100199,대신증권2우B,kospi
100200,LG,kospi
100201,LG우,kospi
100202,IHQ,kospi
100203,SNT중공업,kospi
100204,넥스트사이언스,kospi
100205,방림,kospi
100206,미창석유,kospi
100207,포스코케미칼,kospi
100208,한성기업,kospi
100209,코리안리,kospi
100210,삼영화학,kospi
100211,진양산업,kospi
100212,대한화섬,kospi
100213,보령제약,kospi
100214,남양유업,kospi
100215,남양유업우,kospi
100216,사조대림,kospi
100217,롯데정밀화학,kospi
100218,현대제철,kospi
100219,SG세계물산,kospi
100220,신흥,kospi
100221,한국석유,kospi
100222,태양금속,kospi
100223,태양금속우,kospi
100224,동방,kospi
100225,한솔홀딩스,kospi
100226,신세계,kospi
100227,NPC,kospi
100228,NPC우,kospi
100229,남성,kospi
100230,현대약품,kospi
100231,세방,kospi
100232,세방우,kospi
100233,농심,kospi
100234,삼익THK,kospi
100235,서울식품,kospi
100236,서울식품우,kospi
100237,송원산업,kospi
100238,삼일씨엔에스,kospi
100239,삼화왕관,kospi
100240,세방전지,kospi
100241,깨끗한나라,kospi
100242,깨끗한나라우,kospi
100243,현대비앤지스틸,kospi
100244,현대비앤지스틸우,kospi
100245,삼천리,kospi
100246,조광피혁,kospi
100247,한솔테크닉스,kospi
100248,팜젠사이언스,kospi
100249,써니전자,kospi
100250,효성,kospi
100251,덕성,kospi
100252,덕성우,kospi
100253,DRB동일,kospi
100254,티웨이홀딩스,kospi
100255,동일산업,kospi
100256,조광페인트,kospi
100257,씨아이테크,kospi
100258,한신공영,kospi
100259,신라교역,kospi
100260,성신양회,kospi
100261,성신양회우,kospi
100262,롯데지주,kospi
